Age,Sex
52,2
34,2
6,1
37,3
25,2
16,2
21,2
41,4
95,2
17,1
80,2
181,9
21,1
79,2
155,7
133,3
99,3
38,1
270,12
113,4
5,1
109,2
24,2
28,1
2,1
319,15
61,3
37,4
32,1
79,3
55,2
134,5
57,2
39,2
145,6
28,2
96,3
18,2
28,2
64,2
43,1
126,7
47,2
184,4
27,1
34,2
224,7
33,1
39,2
20,2
229,13
31,2
81,4
64,3
31,1
44,1
26,2
36,3
48,2
17,2
101,6
46,1
17,1
56,1
43,1
18,1
23,1
113,5
14,1
42,2
21,2
61,2
82,6
51,1
-1,1
55,1
55,3
139,5
28,1
90,4
60,1
96,3
19,1
82,2
63,1
36,1
22,1
18,2
58,2
49,5
62,3
18,1
31,1
81,5
21,1
23,2
70,4
22,2
-1,1
29,1
51,1
27,1
20,2
93,2
39,1
56,2
31,2
42,1
18,1
88,4
50,1
21,1
19,2
59,2
28,1
47,2
42,1
33,1
40,2
57,1
46,1
196,8
39,2
17,1
101,5
43,1
38,2
10,2
19,1
115,5
6,1
61,2
66,1
248,14
87,2
18,1
125,5
-1,1
72,1
75,2
72,2
8,2
80,4
145,10
31,2
47,2
86,5
84,3
34,1
54,2
19,2
76,4
30,1
222,9
21,1
83,3
143,4
71,4
108,4
24,2
39,1
130,3
34,2
56,2
55,1
134,3
118,4
64,2
199,8
38,1
36,1
105,3
4,1
11,2
59,2
222,9
56,4
161,8
22,1
44,2
23,2
131,4
74,2
15,2
43,1
38,2
24,1
52,2
157,5
116,5
23,2
180,6
70,3
69,2
122,7
83,5
112,2
58,2
35,3
29,1
17,1
98,2
45,2
79,2
31,2
50,2
186,10
20,1
255,8
48,1
55,3
45,2
15,2
24,1
48,1
30,1
35,1
139,7
28,1
60,1
205,7
32,2
73,3
68,1
32,1
110,5
224,7
17,1
38,3
272,12
145,5
29,1
12,2
131,8
103,4
29,1
66,2
8,1
71,5
48,2
6,2
68,4
91,5
20,2
41,1
92,4
85,3
40,4
74,4
68,3
62,3
12,1
19,1
36,1
158,7
78,1
95,2
61,1
40,1
14,2
57,3
172,13
48,2
102,8
99,3
130,4
40,2
200,5
154,5
28,1
309,14
19,1
60,4
93,4
185,5
73,1
31,1
70,4
59,1
91,2
108,3
110,3
59,2
29,1
138,6
56,3
25,1
28,1
102,3
34,2
46,2
42,4
22,2
131,3
81,3
70,3
93,4
29,2
70,3
217,7
11,1
88,2
84,4
-1,1
96,3
31,3
27,1
38,2
22,2
31,2
63,3
65,2
98,5
49,2
40,2
80,4
57,3
55,1
60,1
107,5
-1,1
130,2
55,1
46,2
19,1
58,3
18,1
36,2
28,1
46,1
25,1
83,4
26,2
54,1
76,2
136,7
34,1
18,2
18,1
89,2
61,1
28,1
28,1
40,2
36,1
-1,1
43,1
55,2
29,2
25,1
66,1
24,2
41,2
95,4
61,3
57,1
55,1
69,2
29,2
47,1
27,1
88,3
40,1
36,1
21,1
169,6
38,2
130,12
32,4
108,4
67,3
38,2
10,1
287,9
109,6
51,1
74,1
66,2
56,6
61,4
26,2
141,8
36,2
19,2
77,4
138,5
31,2
46,2
56,1
35,2
102,2
43,2
44,2
182,4
187,4
52,2
61,1
76,1
104,4
47,1
108,3
20,1
93,3
48,2
59,1
25,2
81,1
29,1
81,4
70,3
135,3
71,1
30,2
143,3
79,4
79,2
196,12
33,3
75,2
110,2
53,2
22,2
13,1
30,1
54,1
43,2
85,1
28,1
33,1
51,1
27,1
19,1
43,1
55,1
55,2
78,3
139,14
112,3
48,3
50,4
37,3
-1,2
36,1
101,3
28,1
18,2
121,3
51,4
13,4
11,1
54,2
25,1
180,6
80,2
167,7
29,1
-1,2
175,7
86,3
154,7
34,1
89,4
29,1
47,1
80,2
119,7
69,3
132,4
49,1
78,2
33,1
49,2
46,2
40,1
30,1
18,2
22,1
39,2
136,5
26,1
50,2
41,1
43,3
100,4
113,4
61,3
49,4
38,1
85,2
45,1
-1,1
126,8
19,2
68,4
37,1
74,4
40,3
231,9
97,5
109,2
54,1
36,1
124,5
51,3
56,3
66,3
40,2
20,1
36,3
138,4
27,1
42,1
43,4
21,2
48,1
28,2
22,1
37,1
26,1
48,1
30,2
33,1
29,1
46,2
79,2
30,1
62,3
60,2
49,1
38,2
31,1
55,6
17,2
30,1
20,1
40,2
26,1
71,2
51,1
26,1
46,2
28,1
43,1
39,1
-1,2
38,2
38,1
36,1
151,4
64,1
18,2
58,1
50,2
78,2
69,2
48,2
29,1
12,2
42,2
53,2
46,4
107,3
25,2
106,4
37,2
21,2
30,2
32,2
135,6
44,1
44,3
30,1
396,12
59,2
143,7
67,3
10,3
24,2
8,2
99,5
138,5
34,2
44,2
215,7
89,3
60,1
80,4
51,1
54,2
57,3
102,3
147,6
23,2
37,2
22,2
34,1
88,3
58,3
50,2
48,1
37,2
22,2
78,3
65,2
137,3
28,2
32,1
46,2
141,5
6,2
27,1
54,2
96,4
28,1
100,4
187,4
22,2
149,5
34,1
20,1
78,3
72,4
18,1
59,1
154,6
115,3
131,4
10,1
1226,44
111,6
21,2
67,2
173,8
33,2
184,5
140,3
35,2
52,2
150,6
65,2
21,2
38,2
144,7
55,3
72,2
48,3
54,2
43,3
22,1
118,7
66,3
33,2
21,1
31,2
20,1
58,3
151,4
-1,2
78,5
37,1
51,3
40,1
10,2
284,7
38,1
116,4
93,3
51,4
37,1
149,10
32,2
21,1
19,2
28,3
51,2
215,4
48,3
54,2
58,2
26,2
139,4
82,1
23,3
145,6
22,2
57,1
86,5
46,1
87,8
34,1
46,2
104,2
15,1
34,1
29,1
44,4
24,2
47,2
66,3
30,1
25,2
50,1
83,4
82,3
18,1
53,2
55,2
27,4
35,1
49,2
23,2
106,3
44,2
62,1
20,2
44,2
28,1
80,3
20,1
28,1
17,1
34,3
47,2
24,2
44,4
39,1
172,8
70,4
21,1
84,4
17,1
19,1
21,2
22,2
46,2
18,1
26,1
18,1
25,1
41,1
39,1
22,1
49,3
35,2
36,1
35,1
19,1
27,1
18,1
23,1
64,2
46,2
20,1
30,2
45,2
65,1
48,2
45,1
48,1
43,1
26,2
76,2
37,1
26,1
57,2
137,6
56,3
38,1
26,1
42,2
129,8
